GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300399,GSW,POR,77.8,17,30,4,14,7,7,6,16,10,1,1,6,2,5,10,0,2,2,2,3,5,6,4,0,6,3,home,57,46,126
22300400,MIN,SAC,81.6,22,42,3,15,3,4,4,18,12,3,3,4,8,4,8,1,4,0,0,0,4,5,2,0,1,4,away,59,47,110
22300400,SAC,MIN,80.0,14,31,3,11,12,14,0,10,7,3,0,4,5,1,10,0,6,2,3,3,6,2,2,1,2,3,home,47,59,98
22300401,MIL,NYK,81.1,16,39,5,16,3,6,5,9,11,3,1,4,4,3,9,1,6,4,4,3,5,0,2,0,2,1,away,51,62,122
22300401,NYK,MIL,85.31666666666666,23,48,6,15,3,4,5,14,8,3,1,4,7,3,7,1,4,0,0,0,7,8,2,3,2,2,home,62,51,129
22300402,GSW,DEN,71.71666666666667,8,23,5,11,5,5,3,12,5,3,2,9,1,9,17,4,7,6,6,2,4,5,0,0,1,5,away,54,53,114
22300402,DEN,GSW,90.85,17,39,7,20,4,6,4,16,11,4,2,3,7,3,5,2,2,0,0,0,0,4,1,0,5,2,home,53,54,120
22300403,BOS,LAL,84.88333333333334,18,36,5,15,7,9,2,13,10,4,2,4,6,4,11,2,9,0,0,2,2,2,1,1,0,4,away,58,57,126
22300403,LAL,BOS,77.06666666666666,17,32,6,9,4,6,7,14,8,1,1,4,4,6,15,0,5,1,3,2,4,5,0,0,4,3,home,57,58,115
22300404,MIA,PHI,76.68333333333334,19,32,4,5,8,12,3,17,8,3,4,6,4,3,11,3,7,4,4,1,10,7,0,0,1,2,home,63,49,119
22300404,PHI,MIA,80.95,11,35,4,13,3,5,2,9,10,3,3,1,7,8,18,3,10,1,2,1,6,1,3,0,2,3,away,49,63,113
22300405,PHX,DAL,85.3,11,32,4,13,8,8,3,10,8,1,2,5,7,7,16,2,8,4,6,4,9,4,1,0,0,2,home,54,64,114
22300405,DAL,PHX,84.76666666666667,19,37,7,18,12,14,3,14,14,2,0,4,7,3,8,1,5,0,0,0,4,3,0,1,1,3,away,64,54,128
22300406,BKN,DET,75.05,15,28,2,4,9,15,3,10,6,2,2,3,5,8,16,3,6,1,2,1,8,8,3,1,2,5,away,61,54,118
22300406,DET,BKN,76.16666666666667,16,36,2,9,4,7,8,13,9,2,1,6,8,4,12,1,5,7,7,2,5,0,1,1,2,3,home,54,61,112
22300407,ORL,WAS,79.66666666666667,17,36,6,15,6,9,0,11,12,5,1,6,3,7,14,2,3,1,1,4,6,5,1,0,2,3,away,63,60,127
22300407,WAS,ORL,75.4,13,31,4,14,4,5,4,10,10,4,2,6,5,9,14,4,8,4,5,2,9,2,1,2,3,4,home,60,63,119
22300408,CHI,ATL,82.38333333333334,13,34,0,8,9,10,5,13,7,3,1,2,6,5,10,3,7,2,2,1,3,1,2,0,2,3,home,50,56,118
