GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22300961,CHA,PHX,76:15:00,11,30,1,12,6,10,4,13,10,2,0,2,5,120:00:00,18,49,2,22,7,11,6,18,14,5,0,3,6,85:13:00,13,31,3,13,5,8,5,17,15,2,0,6,3,120:00:00,21,45,6,20,6,9,6,26,17,2,0,6,9
22300965,SAS,DEN,81:58:00,12,27,6,13,6,8,3,6,10,4,3,4,3,120:00:00,17,41,6,17,9,12,6,16,11,4,3,7,5,80:46:00,16,26,2,6,4,5,2,14,11,4,1,6,7,120:00:00,24,44,5,13,5,7,4,19,17,5,2,6,11
22300958,MIL,PHI,78:37:00,14,28,6,14,5,7,4,9,11,2,2,7,6,120:00:00,19,37,8,19,7,9,4,14,15,4,2,10,7,71:03:00,14,27,5,12,4,6,0,8,3,1,0,4,3,120:00:00,22,40,11,19,6,8,3,13,11,3,3,7,7
22300955,BOS,PHX,88:02:00,23,39,11,22,3,6,1,6,10,4,1,4,6,120:00:00,25,43,12,24,3,6,1,12,14,5,2,5,9,90:55:00,20,42,3,10,4,4,7,10,14,3,2,4,7,120:00:00,25,55,6,18,4,4,13,14,16,3,2,6,9
22300956,CHI,LAC,86:54:00,11,27,8,13,9,12,3,13,11,1,0,9,4,120:00:00,17,36,9,15,10,13,3,14,13,2,0,10,7,83:02:00,18,29,5,11,5,6,3,11,11,4,2,2,4,120:00:00,25,43,8,19,6,8,4,13,15,6,2,3,9
22300958,MIL,PHI,78:37:00,14,28,6,14,5,7,4,9,11,2,2,7,6,120:00:00,19,37,8,19,7,9,4,14,15,4,2,10,7,71:03:00,14,27,5,12,4,6,0,8,3,1,0,4,3,120:00:00,22,40,11,19,6,8,3,13,11,3,3,7,7
22300960,POR,NYK,82:20:00,9,29,2,10,7,8,2,9,3,4,2,5,5,120:00:00,14,39,5,16,8,10,6,16,8,5,2,9,9,80:41:00,15,34,3,15,9,10,7,16,6,4,1,3,5,120:00:00,21,49,4,19,9,10,10,19,9,6,1,6,10
22300959,OKC,DAL,74:32:00,17,30,6,12,9,10,2,9,12,1,3,6,9,120:00:00,23,43,10,22,9,10,4,13,17,1,3,7,13,74:13:00,15,28,4,7,11,13,4,7,8,2,1,4,6,120:00:00,22,43,6,13,13,16,5,14,13,3,2,7,7
22300956,CHI,LAC,86:54:00,11,27,8,13,9,12,3,13,11,1,0,9,4,120:00:00,17,36,9,15,10,13,3,14,13,2,0,10,7,83:02:00,18,29,5,11,5,6,3,11,11,4,2,2,4,120:00:00,25,43,8,19,6,8,4,13,15,6,2,3,9
22300960,POR,NYK,82:20:00,9,29,2,10,7,8,2,9,3,4,2,5,5,120:00:00,14,39,5,16,8,10,6,16,8,5,2,9,9,80:41:00,15,34,3,15,9,10,7,16,6,4,1,3,5,120:00:00,21,49,4,19,9,10,10,19,9,6,1,6,10
